연도,양파,돼지고기,밀가루,자장면
1975,6.08,8.36,9.75,2.89
1976,7.14,10.89,10.37,3.19
1977,5.42,11.24,10.15,4.08
1978,11.37,15.1,9.96,4.28
1979,11.32,14.59,10.5,5.82
1980,14.73,17.12,15.64,7.29
1981,23.63,28.71,20.18,9.86
1982,20.02,28.85,19.69,11.05
1983,12.26,26.57,18.4,11.02
1984,26.02,22.68,18.2,11.91
1985,24.53,28.1,19.09,12.88
1986,19.11,30.76,20.35,13.48
1987,16.79,25.58,19.55,14.12
1988,18.01,25.05,19.15,15.88
1989,19.38,23.82,20.81,18.78
1990,30.17,33.7,22.87,22.72
1991,40.58,40.31,23.35,27.51
1992,20.21,33.98,25.21,30.73
1993,23.28,33.04,26.21,33.23
1994,51.55,34.24,26.26,36.64
1995,30.61,33.45,27,39.06
1996,37.69,31.61,32.72,42.46
1997,41.11,35.02,35.23,44.95
1998,41.31,36.61,52.87,51.27
1999,43.58,37.93,43.77,49.46
2000,45.11,39.35,41.32,50.16
2001,40.49,42.7,43.98,50.79
2002,39.07,46.33,46.08,53.79
2003,71.96,47.55,52.11,59.41
2004,58.75,59.86,57.47,60.81
2005,55.17,63.45,60.64,61.07
2006,65.32,64.3,62.32,61.87
2007,59.59,61.39,67.96,64.18
2008,62.5,71.93,108.73,72.58
2009,72.77,78.12,99.36,73.85
2010,74.95,73.38,84.95,74.77
2011,71.14,93.98,89.42,80
2012,76.06,81.23,90.11,80.94
2013,110.11,75.94,98.98,82.35
2014,64.96,88.03,101.47,83.4
2015,87.01,91.25,100.57,85.7
2016,93.14,91.84,99.48,88.11
2017,100.36,97.52,98.35,90.93
2018,80.86,93.98,99.4,94.98
2019,68.75,90.31,101.07,98.59
2020,100,100,100,100
2021,103.56,111.11,100.67,103.07
2022,94.42,120.09,128.83,114.2
2023,109.06,118.33,138.05,122.42
2024,103.31,120.57,135.9,126.38
2025,109.74,128.13,135.64,133.52
