연도,양파,돼지고기,밀가루,자장면,양파 가격,돼지고기 가격,밀가루 가격,자장면 가격
1975,6.08,8.36,9.75,2.89,227.027,169.875,132.21,150.136
1976,7.14,10.89,10.37,3.19,266.608,221.285,140.617,165.72
1977,5.42,11.24,10.15,4.08,202.383,228.397,137.634,211.956
1978,11.37,15.1,9.96,4.28,424.556,306.832,135.058,222.346
1979,11.32,14.59,10.5,5.82,422.689,296.469,142.38,302.349
1980,14.73,17.12,15.64,7.29,550.018,347.878,212.078,378.716
1981,23.63,28.71,20.18,9.86,882.344,583.387,273.641,512.227
1982,20.02,28.85,19.69,11.05,747.547,586.232,266.996,574.048
1983,12.26,26.57,18.4,11.02,457.788,539.902,249.504,572.489
1984,26.02,22.68,18.2,11.91,971.587,460.858,246.792,618.725
1985,24.53,28.1,19.09,12.88,915.95,570.992,258.86,669.116
1986,19.11,30.76,20.35,13.48,713.567,625.043,275.946,700.286
1987,16.79,25.58,19.55,14.12,626.939,519.786,265.098,733.534
1988,18.01,25.05,19.15,15.88,672.493,509.016,259.674,824.966
1989,19.38,23.82,20.81,18.78,723.649,484.022,282.184,975.621
1990,30.17,33.7,22.87,22.72,1126.55,684.784,310.117,1180.3
1991,40.58,40.31,23.35,27.51,1515.26,819.099,316.626,1429.14
1992,20.21,33.98,25.21,30.73,754.641,690.474,341.848,1596.42
1993,23.28,33.04,26.21,33.23,869.275,671.373,355.408,1726.3
1994,51.55,34.24,26.26,36.64,1924.88,695.757,356.086,1903.45
1995,30.61,33.45,27,39.06,1142.98,679.704,366.12,2029.17
1996,37.69,31.61,32.72,42.46,1407.34,642.315,443.683,2205.8
1997,41.11,35.02,35.23,44.95,1535.05,711.606,477.719,2335.15
1998,41.31,36.61,52.87,51.27,1542.52,743.915,716.917,2663.48
1999,43.58,37.93,43.77,49.46,1627.28,770.738,593.521,2569.45
2000,45.11,39.35,41.32,50.16,1684.41,799.592,560.299,2605.81
2001,40.49,42.7,43.98,50.79,1511.9,867.664,596.369,2638.54
2002,39.07,46.33,46.08,53.79,1458.87,941.426,624.845,2794.39
2003,71.96,47.55,52.11,59.41,2686.99,966.216,706.612,3086.35
2004,58.75,59.86,57.47,60.81,2193.72,1216.36,779.293,3159.08
2005,55.17,63.45,60.64,61.07,2060.05,1289.3,822.278,3172.59
2006,65.32,64.3,62.32,61.87,2439.05,1306.58,845.059,3214.15
2007,59.59,61.39,67.96,64.18,2225.09,1247.44,921.538,3334.15
2008,62.5,71.93,108.73,72.58,2333.75,1461.62,1474.38,3770.53
2009,72.77,78.12,99.36,73.85,2717.23,1587.4,1347.32,3836.51
2010,74.95,73.38,84.95,74.77,2798.63,1491.08,1151.92,3884.3
2011,71.14,93.98,89.42,80,2656.37,1909.67,1212.54,4156
2012,76.06,81.23,90.11,80.94,2840.08,1650.59,1221.89,4204.83
2013,110.11,75.94,98.98,82.35,4111.51,1543.1,1342.17,4278.08
2014,64.96,88.03,101.47,83.4,2425.61,1788.77,1375.93,4332.63
2015,87.01,91.25,100.57,85.7,3248.95,1854.2,1363.73,4452.11
2016,93.14,91.84,99.48,88.11,3477.85,1866.19,1348.95,4577.31
2017,100.36,97.52,98.35,90.93,3747.44,1981.61,1333.63,4723.81
2018,80.86,93.98,99.4,94.98,3019.31,1909.67,1347.86,4934.21
2019,68.75,90.31,101.07,98.59,2567.12,1835.1,1370.51,5121.75
2020,100,100,100,100,3734,2032,1356,5195
2021,103.56,111.11,100.67,103.07,3866.93,2257.76,1365.09,5354.49
2022,94.42,120.09,128.83,114.2,3525.64,2440.23,1746.93,5932.69
2023,109.06,118.33,138.05,122.42,4072.3,2404.47,1871.96,6359.72
2024,103.31,120.57,135.9,126.38,3857.6,2449.98,1842.8,6565.44
2025,109.74,128.13,135.64,133.52,4097.69,2603.6,1839.28,6936.36
